code,name_th,date,cpi_index
21340,เสื้อผ้าเด็กอื่นๆ,2025-01-01,99.99
21400,ค่าจ้างตัดเย็บและอุปกรณ์,2025-01-01,100.24
21410,ค่าจ้าง,2025-01-01,100.24
21420,อุปกรณ์,2025-01-01,
22000,ผลิตภัณฑ์รองเท้า,2025-01-01,100.07
22100,รองเท้าบุรุษ,2025-01-01,99.87
22110,รองเท้าหุ้มส้นบุรุษ,2025-01-01,98.47
22120,รองเท้ากีฬาและผ้าใบบุรุษ,2025-01-01,100.03
22130,รองเท้าแตะบุรุษ,2025-01-01,100.36
22200,รองเท้าสตรี,2025-01-01,100.06
22210,รองเท้าหุ้มส้นสตรี,2025-01-01,99.76
22220,รองเท้ากีฬาและผ้าใบสตรี,2025-01-01,100.03
22230,รองเท้าแตะสตรี,2025-01-01,100.31
22300,รองเท้าเด็ก,2025-01-01,100.58
22310,รองเท้าหุ้มส้นเด็ก,2025-01-01,100.01
22320,รองเท้ากีฬาและผ้าใบเด็ก,2025-01-01,101.17
22330,รองเท้าแตะเด็ก,2025-01-01,100.44
22400,ค่าซ่อมแซมและดูแลรักษา,2025-01-01,102.31
22410,ค่าซ่อมแซม,2025-01-01,102.31
22420,ค่าดูแลรักษา,2025-01-01,
30000,หมวดเคหสถาน,2025-01-01,100.21
31000,ค่าที่พักอาศัย,2025-01-01,100.35
31100,ค่าเช่า,2025-01-01,100.34
31200,การประกันอัคคีภัย,2025-01-01,100.0
31300,วัสดุก่อสร้าง,2025-01-01,100.28
31400,เครื่องสุขภัณฑ์,2025-01-01,100.22
31500,ค่าแรง,2025-01-01,101.24
31600,อุปกรณ์ซ่อมแซมบ้าน,2025-01-01,99.35
32000,ไฟฟ้า  เชื้อเพลิง  น้ำประปาและแสงสว่าง,2025-01-01,100.59
32100,ไฟฟ้า,2025-01-01,100.6
32200,เชื้อเพลิงในบ้าน,2025-01-01,100.87
32300,น้ำประปา,2025-01-01,100.06
32400,แสงสว่าง,2025-01-01,100.82
33000,สิ่งทอสำหรับใช้ในบ้าน,2025-01-01,99.9
34000,เครื่องใช้เบ็ดเตล็ดในบ้าน,2025-01-01,99.83
35000,เครื่องแต่งบ้านและบริภัณฑ์อื่นๆ,2025-01-01,99.02
35100,เครื่องแต่งบ้าน,2025-01-01,100.06
35200,บริภัณฑ์อื่น ๆ,2025-01-01,98.71
36000,สิ่งที่เกี่ยวกับทำความสะอาด,2025-01-01,98.06
37000,คนรับใช้ / คนงาน,2025-01-01,100.73
40000,หมวดการตรวจรักษาและบริการส่วนบุคคล,2025-01-01,99.93
41000,ค่าตรวจรักษาและค่ายา,2025-01-01,100.88
41100,ค่ายาและเวชภัณฑ์,2025-01-01,101.61
41110,ค่ายา,2025-01-01,101.72
41120,เวชภัณฑ์,2025-01-01,99.36
41200,ค่ารักษาพยาบาล,2025-01-01,100.37
41210,คนไข้นอก,2025-01-01,100.33
41211,ค่าตรวจโรครักษา ค่าบริการ และค่ายาของคนไข้นอก,2025-01-01,100.32
41212,ค่าทำฟัน,2025-01-01,100.31
41213,ค่าตรวจสายตา,2025-01-01,99.96
41214,ค่าบริการด้านรังสี,2025-01-01,100.52
41215,ค่าบริการอื่น ๆ,2025-01-01,100.48
41216,ค่าตรวจวินิจฉัยทางห้องปฏิบัติการ,2025-01-01,100.51
41220,คนไข้ใน,2025-01-01,100.47
41221,ค่าห้องพักคนไข้,2025-01-01,101.01
41222,ค่าตรวจรักษา ค่าบริการ และค่ายาของคนไข้ใน,2025-01-01,100.02
41224,ค่าบริการอื่น ๆ,2025-01-01,100.97
42000,ค่าใช้จ่ายส่วนบุคคล,2025-01-01,99.67
42100,ค่าของใช้ส่วนบุคคล,2025-01-01,98.95
42200,ค่าบริการส่วนบุคคล,2025-01-01,103.18
42210,ค่าบริการส่วนบุคคลเพื่อความสวยงาม,2025-01-01,103.16
42220,ค่าบริการส่วนบุคคลเพื่อความผ่อนคลาย,2025-01-01,103.87
43000,ค่าบัตรประกันสุขภาพและประกันชีวิต,2025-01-01,100.0
50000,หมวดพาหนะ การขนส่ง และการสื่อสาร,2025-01-01,100.01
51000,ค่าโดยสารสาธารณะ,2025-01-01,99.44
51100,ค่าโดยสารในท้องถิ่น,2025-01-01,97.68
51200,ค่าโดยสารนอกท้องถิ่น,2025-01-01,104.02
52000,ยานพาหนะและน้ำมันเชื้อเพลิง,2025-01-01,100.07
52100,ค่าซื้อยานพาหนะ,2025-01-01,100.02
52110,ยานพาหนะ,2025-01-01,100.01
52120,อุปกรณ์ยานพาหนะ,2025-01-01,100.17
52200,น้ำมันเชื้อเพลิง,2025-01-01,99.97
52300,ค่าบริการบำรุงรักษายานยนต์,2025-01-01,101.9
53000,ค่าภาษีและประกันภัยรถยนต์,2025-01-01,100.0
53100,ค่าภาษี,2025-01-01,100.0
53200,ค่าประกันภัยรถ,2025-01-01,100.0
53300,ค่าใช้จ่ายที่เกี่ยวกับรถ,2025-01-01,100.0
54000,การสื่อสาร,2025-01-01,100.02
54100,ค่าบริการการสื่อสาร,2025-01-01,100.07
54200,เครื่องรับอุปกรณ์สื่อสาร,2025-01-01,98.45
60000,หมวดการบันเทิงการอ่าน การศึกษา และการศาสนา,2025-01-01,100.71
61000,การบันเทิงและการอ่าน,2025-01-01,100.24
61100,ค่าธรรมเนียมและค่าสมาชิก,2025-01-01,99.91
61200,ค่าอุปกรณ์กีฬาและเครื่องเล่น,2025-01-01,100.02
61210,อุปกรณ์กีฬา,2025-01-01,
61220,ของเล่น,2025-01-01,100.1
61230,ค่าถ่ายรูปและค่าฟิล์ม,2025-01-01,
61240,ค่าการบันเทิง,2025-01-01,100.0
61250,ค่าใช้จ่ายเกี่ยวกับสัตว์เลี้ยง,2025-01-01,100.04
61260,ค่าใช้จ่ายเกี่ยวกับการทำสวนประดับบ้าน,2025-01-01,100.0
61300,ค่าอุปกรณ์การบันเทิง,2025-01-01,95.8
61400,ค่าใช้จ่ายเกี่ยวกับการอ่าน,2025-01-01,100.0
61500,ค่าใช้จ่ายในการเดินทางโอกาสพิเศษและท่องเที่ยว,2025-01-01,100.35
62000,การศึกษา,2025-01-01,101.76
62100,ค่าเล่าเรียนและค่าธรรมเนียมการศึกษา,2025-01-01,101.79
62110,การศึกษาระดับประถมศึกษา,2025-01-01,102.07
62120,การศึกษาระดับมัธยมศึกษาสายสามัญ,2025-01-01,103.59
62130,การศึกษาระดับมัธยมศึกษา ด้านเทคนิคและอาชีวะ,2025-01-01,101.45
62140,การศึกษาระดับอุดมศึกษา,2025-01-01,100.76
62150,ค่าเรียนพิเศษ,2025-01-01,100.0
62200,หนังสือและอุปกรณ์การศึกษา,2025-01-01,100.0
62210,หนังสือ,2025-01-01,100.0
62211,หนังสือแบบเรียนเอกชน,2025-01-01,100.0
62212,หนังสือแบบเรียนรัฐบาล,2025-01-01,
62220,อุปกรณ์เกี่ยวกับการศึกษา,2025-01-01,100.0
62300,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการศึกษา,2025-01-01,109.84
63000,การศาสนา,2025-01-01,100.26
63100,ค่าอาหาร ของถวายพระ ไหว้เจ้าและอื่น ๆ,2025-01-01,100.26
63110,เครื่องถวายพระ,2025-01-01,100.26
70000,หมวดยาสูบและเครื่องดื่มมีแอลกอฮอล์,2025-01-01,101.38
71000,ผลิตภัณฑ์ยาสูบ,2025-01-01,101.34
72000,เครื่องดื่มมีแอลกอฮอลล์,2025-01-01,101.4
72100,ผลิตภัณฑ์เบียร์,2025-01-01,100.22
72200,ผลิตภัณฑ์ไวน์,2025-01-01,98.88
72300,ผลิตภัณฑ์สุรา,2025-01-01,104.68
80000,หมวดอื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,2025-01-01,100.16
81000,ไม่รวมอาหาร เครื่องดื่ม และพลังงาน,2025-01-01,100.14
82000,อาหารและเครื่องดื่ม (ไม่รวมอาหารสด),2025-01-01,103.13
90000,กลุ่มอาหารสดและพลังงาน,2025-01-01,99.66
91000,อาหารสด,2025-01-01,99.23
92000,พลังงาน,2025-01-01,100.28
96000,"CPI ไม่รวมน้ำมัน 91 , 95 , ดีเซล และรายการของ คน.",2025-01-01,
93000,ดัชนีราคาผู้บริโภคพื้นฐาน,2025-01-01,101.08
00000,รวมทุกรายการ,2024-01-01,99.26
10000,หมวดอาหารและเครื่องดื่มไม่มีแอลกอฮอล์,2024-01-01,99.39
11000,อาหารปรุงที่บ้าน,2024-01-01,98.7
11100,ข้าว  แป้งและผลิตภัณฑ์จากแป้ง,2024-01-01,101.9
11110,ข้าว,2024-01-01,102.22
11120,แป้งและผลิตภัณฑ์จากแป้ง,2024-01-01,100.95
11121,แป้ง,2024-01-01,100.32
11122,ผลิตภัณฑ์จากแป้ง,2024-01-01,100.97
11200,เนื้อสัตว์ เป็ดไก่ และสัตว์น้ำ,2024-01-01,97.55
11210,เนื้อสัตว์,2024-01-01,93.94
11211,เนื้อสัตว์สด,2024-01-01,93.04
11212,เนื้อสัตว์แปรรูป,2024-01-01,100.19
11220,เป็ด ไก่,2024-01-01,101.22
11221,เป็ด ไก่  สด,2024-01-01,99.92
11230,ปลาและสัตว์น้ำ,2024-01-01,99.7
11231,ปลาน้ำจืดสด,2024-01-01,101.12
11232,ปลาน้ำทะเลสด,2024-01-01,93.91
11233,สัตว์น้ำ,2024-01-01,99.52
11234,ปลาแปรรูป,2024-01-01,100.83
11235,สัตว์น้ำแปรรูป,2024-01-01,101.25
11300,ไข่และผลิตภัณฑ์นม,2024-01-01,101.71
11310,ไข่,2024-01-01,101.19
11320,นมและผลิตภัณฑ์นม,2024-01-01,102.15
11400,ผักและผลไม้,2024-01-01,95.71
11410,ผักสดแปรรูปและอื่นๆ,2024-01-01,94.61
11411,ผักสด,2024-01-01,93.42
11412,ผักแปรรูปและอื่นๆ,2024-01-01,100.06
11420,ผลไม้สดแปรรูปและอื่นๆ,2024-01-01,97.23
11421,ผลไม้สด,2024-01-01,97.17
11422,ผลไม้แปรรูปและอื่น ๆ,2024-01-01,101.0
11500,เครื่องประกอบอาหาร,2024-01-01,99.41
11520,เครื่องปรุงอาหาร,2024-01-01,99.4
11521,น้ำมันและไขมัน,2024-01-01,98.4
11522,เครื่องปรุงรส,2024-01-01,100.04
11600,เครื่องดื่มไม่มีแอลกอฮอล์,2024-01-01,100.81
11700,ผลิตภัณฑ์น้ำตาล,2024-01-01,101.97
11710,น้ำตาลและขนมหวาน,2024-01-01,101.97
12000,อาหารสำเร็จรูป,2024-01-01,100.5
12300,อาหารพร้อมทาน,2024-01-01,100.67
12400,อาหารจากร้านยอดนิยม,2024-01-01,100.96
12500,อาหารฟาสต์ฟู้ด/delivery,2024-01-01,103.44
20000,หมวดเครื่องนุ่งห่มและรองเท้า,2024-01-01,99.74
21000,ผ้าและเสื้อผ้า,2024-01-01,99.66
21100,บุรุษ,2024-01-01,99.62
21120,เครื่องแบบชาย,2024-01-01,100.63
21130,เสื้อบุรุษ,2024-01-01,99.33
21140,กางเกงบุรุษ,2024-01-01,99.42
21150,เสื้อผ้าบุรุษอื่นๆ,2024-01-01,100.83
21160,เครื่องประดับบุรุษ,2024-01-01,99.46
21200,สตรี,2024-01-01,99.38
21220,เครื่องแบบหญิง,2024-01-01,100.94
21230,เสื้อสตรี,2024-01-01,99.17
21240,กางเกงสตรีและกระโปรงสตรี,2024-01-01,99.17
21250,เสื้อผ้าสตรีอื่นๆ,2024-01-01,100.27
21300,เด็ก,2024-01-01,100.29
21310,เครื่องแบบเด็ก,2024-01-01,101.29
21320,เสื้อเด็ก,2024-01-01,99.85
21330,กางเกงเด็ก,2024-01-01,99.67
21340,เสื้อผ้าเด็กอื่นๆ,2024-01-01,99.9
21400,ค่าจ้างตัดเย็บและอุปกรณ์,2024-01-01,100.23
21410,ค่าจ้าง,2024-01-01,100.23
22000,ผลิตภัณฑ์รองเท้า,2024-01-01,100.11
22100,รองเท้าบุรุษ,2024-01-01,100.11
22110,รองเท้าหุ้มส้นบุรุษ,2024-01-01,100.22
22120,รองเท้ากีฬาและผ้าใบบุรุษ,2024-01-01,100.07
22130,รองเท้าแตะบุรุษ,2024-01-01,100.11
22200,รองเท้าสตรี,2024-01-01,100.0
22210,รองเท้าหุ้มส้นสตรี,2024-01-01,99.54
22220,รองเท้ากีฬาและผ้าใบสตรี,2024-01-01,100.02
22230,รองเท้าแตะสตรี,2024-01-01,100.31
22300,รองเท้าเด็ก,2024-01-01,100.26
22310,รองเท้าหุ้มส้นเด็ก,2024-01-01,99.96
22320,รองเท้ากีฬาและผ้าใบเด็ก,2024-01-01,100.48
22330,รองเท้าแตะเด็ก,2024-01-01,99.98
22400,ค่าซ่อมแซมและดูแลรักษา,2024-01-01,101.46
22410,ค่าซ่อมแซม,2024-01-01,101.46
30000,หมวดเคหสถาน,2024-01-01,99.78
31000,ค่าที่พักอาศัย,2024-01-01,100.09
31100,ค่าเช่า,2024-01-01,100.09
31200,การประกันอัคคีภัย,2024-01-01,100.0
31300,วัสดุก่อสร้าง,2024-01-01,100.05
31400,เครื่องสุขภัณฑ์,2024-01-01,99.88
31500,ค่าแรง,2024-01-01,100.2
31600,อุปกรณ์ซ่อมแซมบ้าน,2024-01-01,99.7
32000,ไฟฟ้า  เชื้อเพลิง  น้ำประปาและแสงสว่าง,2024-01-01,99.13
32100,ไฟฟ้า,2024-01-01,98.66
32200,เชื้อเพลิงในบ้าน,2024-01-01,100.66
32300,น้ำประปา,2024-01-01,100.06
32400,แสงสว่าง,2024-01-01,100.47
33000,สิ่งทอสำหรับใช้ในบ้าน,2024-01-01,99.53
34000,เครื่องใช้เบ็ดเตล็ดในบ้าน,2024-01-01,100.05
35000,เครื่องแต่งบ้านและบริภัณฑ์อื่นๆ,2024-01-01,99.77
35100,เครื่องแต่งบ้าน,2024-01-01,99.97
35200,บริภัณฑ์อื่น ๆ,2024-01-01,99.71
36000,สิ่งที่เกี่ยวกับทำความสะอาด,2024-01-01,99.32
37000,คนรับใช้ / คนงาน,2024-01-01,100.2
40000,หมวดการตรวจรักษาและบริการส่วนบุคคล,2024-01-01,100.46
41000,ค่าตรวจรักษาและค่ายา,2024-01-01,100.37
41100,ค่ายาและเวชภัณฑ์,2024-01-01,100.71
41110,ค่ายา,2024-01-01,100.75
41120,เวชภัณฑ์,2024-01-01,99.78
41200,ค่ารักษาพยาบาล,2024-01-01,100.14
41210,คนไข้นอก,2024-01-01,100.13
41211,ค่าตรวจโรครักษา ค่าบริการ และค่ายาของคนไข้นอก,2024-01-01,100.11
41212,ค่าทำฟัน,2024-01-01,100.14
41213,ค่าตรวจสายตา,2024-01-01,100.0
41214,ค่าบริการด้านรังสี,2024-01-01,100.24
41215,ค่าบริการอื่น ๆ,2024-01-01,100.3
41216,ค่าตรวจวินิจฉัยทางห้องปฏิบัติการ,2024-01-01,100.17
41220,คนไข้ใน,2024-01-01,100.15
41221,ค่าห้องพักคนไข้,2024-01-01,100.24
41222,ค่าตรวจรักษา ค่าบริการ และค่ายาของคนไข้ใน,2024-01-01,100.02
41224,ค่าบริการอื่น ๆ,2024-01-01,100.36
42000,ค่าใช้จ่ายส่วนบุคคล,2024-01-01,100.52
42100,ค่าของใช้ส่วนบุคคล,2024-01-01,100.47
42200,ค่าบริการส่วนบุคคล,2024-01-01,100.74
42210,ค่าบริการส่วนบุคคลเพื่อความสวยงาม,2024-01-01,100.75
42220,ค่าบริการส่วนบุคคลเพื่อความผ่อนคลาย,2024-01-01,100.26
43000,ค่าบัตรประกันสุขภาพและประกันชีวิต,2024-01-01,100.0
50000,หมวดพาหนะ การขนส่ง และการสื่อสาร,2024-01-01,97.96
51000,ค่าโดยสารสาธารณะ,2024-01-01,100.47
51100,ค่าโดยสารในท้องถิ่น,2024-01-01,100.33
51200,ค่าโดยสารนอกท้องถิ่น,2024-01-01,103.19
52000,ยานพาหนะและน้ำมันเชื้อเพลิง,2024-01-01,97.0
52100,ค่าซื้อยานพาหนะ,2024-01-01,100.0
52110,ยานพาหนะ,2024-01-01,100.0
52120,อุปกรณ์ยานพาหนะ,2024-01-01,100.0
52200,น้ำมันเชื้อเพลิง,2024-01-01,94.93
52300,ค่าบริการบำรุงรักษายานยนต์,2024-01-01,100.09
53000,ค่าภาษีและประกันภัยรถยนต์,2024-01-01,100.0
53100,ค่าภาษี,2024-01-01,100.0
53200,ค่าประกันภัยรถ,2024-01-01,100.0
53300,ค่าใช้จ่ายที่เกี่ยวกับรถ,2024-01-01,100.0
54000,การสื่อสาร,2024-01-01,100.07
54100,ค่าบริการการสื่อสาร,2024-01-01,100.07
54200,เครื่องรับอุปกรณ์สื่อสาร,2024-01-01,99.98
60000,หมวดการบันเทิงการอ่าน การศึกษา และการศาสนา,2024-01-01,100.26
61000,การบันเทิงและการอ่าน,2024-01-01,100.18
61100,ค่าธรรมเนียมและค่าสมาชิก,2024-01-01,99.83
61200,ค่าอุปกรณ์กีฬาและเครื่องเล่น,2024-01-01,100.17
61220,ของเล่น,2024-01-01,100.1
61240,ค่าการบันเทิง,2024-01-01,100.0
61250,ค่าใช้จ่ายเกี่ยวกับสัตว์เลี้ยง,2024-01-01,100.21
61260,ค่าใช้จ่ายเกี่ยวกับการทำสวนประดับบ้าน,2024-01-01,100.0
61300,ค่าอุปกรณ์การบันเทิง,2024-01-01,98.07
61400,ค่าใช้จ่ายเกี่ยวกับการอ่าน,2024-01-01,100.0
61500,ค่าใช้จ่ายในการเดินทางโอกาสพิเศษและท่องเที่ยว,2024-01-01,100.25
62000,การศึกษา,2024-01-01,100.41
62100,ค่าเล่าเรียนและค่าธรรมเนียมการศึกษา,2024-01-01,100.38
62110,การศึกษาระดับประถมศึกษา,2024-01-01,100.33
62120,การศึกษาระดับมัธยมศึกษาสายสามัญ,2024-01-01,100.76
62130,การศึกษาระดับมัธยมศึกษา ด้านเทคนิคและอาชีวะ,2024-01-01,100.34
62140,การศึกษาระดับอุดมศึกษา,2024-01-01,100.3
62150,ค่าเรียนพิเศษ,2024-01-01,100.0
62200,หนังสือและอุปกรณ์การศึกษา,2024-01-01,100.0
62210,หนังสือ,2024-01-01,100.0
62211,หนังสือแบบเรียนเอกชน,2024-01-01,100.0
62220,อุปกรณ์เกี่ยวกับการศึกษา,2024-01-01,100.0
62300,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการศึกษา,2024-01-01,103.34
63000,การศาสนา,2024-01-01,100.19
63100,ค่าอาหาร ของถวายพระ ไหว้เจ้าและอื่น ๆ,2024-01-01,100.19
63110,เครื่องถวายพระ,2024-01-01,100.19
70000,หมวดยาสูบและเครื่องดื่มมีแอลกอฮอล์,2024-01-01,100.58
71000,ผลิตภัณฑ์ยาสูบ,2024-01-01,101.34
72000,เครื่องดื่มมีแอลกอฮอลล์,2024-01-01,100.08
72100,ผลิตภัณฑ์เบียร์,2024-01-01,99.78
72200,ผลิตภัณฑ์ไวน์,2024-01-01,100.34
72300,ผลิตภัณฑ์สุรา,2024-01-01,100.86
80000,หมวดอื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,2024-01-01,99.17
81000,ไม่รวมอาหาร เครื่องดื่ม และพลังงาน,2024-01-01,100.12
82000,อาหารและเครื่องดื่ม (ไม่รวมอาหารสด),2024-01-01,100.53
90000,กลุ่มอาหารสดและพลังงาน,2024-01-01,97.44
91000,อาหารสด,2024-01-01,98.28
92000,พลังงาน,2024-01-01,96.19
93000,ดัชนีราคาผู้บริโภคพื้นฐาน,2024-01-01,100.25
00000,รวมทุกรายการ,2023-01-01,100.37
10000,หมวดอาหารและเครื่องดื่มไม่มีแอลกอฮอล์,2023-01-01,100.47
11000,อาหารปรุงที่บ้าน,2023-01-01,101.07
11100,ข้าว  แป้งและผลิตภัณฑ์จากแป้ง,2023-01-01,98.48
11110,ข้าว,2023-01-01,98.34
11120,แป้งและผลิตภัณฑ์จากแป้ง,2023-01-01,98.92
11121,แป้ง,2023-01-01,99.28
11122,ผลิตภัณฑ์จากแป้ง,2023-01-01,98.91
11200,เนื้อสัตว์ เป็ดไก่ และสัตว์น้ำ,2023-01-01,104.39
11210,เนื้อสัตว์,2023-01-01,111.03
11211,เนื้อสัตว์สด,2023-01-01,112.63
11212,เนื้อสัตว์แปรรูป,2023-01-01,99.86
11220,เป็ด ไก่,2023-01-01,99.48
11221,เป็ด ไก่  สด,2023-01-01,100.36
11230,ปลาและสัตว์น้ำ,2023-01-01,99.64
11231,ปลาน้ำจืดสด,2023-01-01,98.6
11232,ปลาน้ำทะเลสด,2023-01-01,102.13
11233,สัตว์น้ำ,2023-01-01,100.5
11234,ปลาแปรรูป,2023-01-01,99.13
11235,สัตว์น้ำแปรรูป,2023-01-01,99.17
11300,ไข่และผลิตภัณฑ์นม,2023-01-01,97.0
11310,ไข่,2023-01-01,96.26
11320,นมและผลิตภัณฑ์นม,2023-01-01,97.63
11400,ผักและผลไม้,2023-01-01,100.14
11410,ผักสดแปรรูปและอื่นๆ,2023-01-01,101.88
11411,ผักสด,2023-01-01,100.96
11412,ผักแปรรูปและอื่นๆ,2023-01-01,106.07
11420,ผลไม้สดแปรรูปและอื่นๆ,2023-01-01,97.74
11421,ผลไม้สด,2023-01-01,97.7
11422,ผลไม้แปรรูปและอื่น ๆ,2023-01-01,99.78
11500,เครื่องประกอบอาหาร,2023-01-01,101.49
11520,เครื่องปรุงอาหาร,2023-01-01,101.55
11521,น้ำมันและไขมัน,2023-01-01,105.36
11522,เครื่องปรุงรส,2023-01-01,99.1
11600,เครื่องดื่มไม่มีแอลกอฮอล์,2023-01-01,98.77
11700,ผลิตภัณฑ์น้ำตาล,2023-01-01,98.7
11710,น้ำตาลและขนมหวาน,2023-01-01,98.7
12000,อาหารสำเร็จรูป,2023-01-01,99.49
12300,อาหารพร้อมทาน,2023-01-01,99.38
12400,อาหารจากร้านยอดนิยม,2023-01-01,99.15
12500,อาหารฟาสต์ฟู้ด/delivery,2023-01-01,100.93
20000,หมวดเครื่องนุ่งห่มและรองเท้า,2023-01-01,99.84
21000,ผ้าและเสื้อผ้า,2023-01-01,99.85
21100,บุรุษ,2023-01-01,100.17
21120,เครื่องแบบชาย,2023-01-01,98.68
21130,เสื้อบุรุษ,2023-01-01,100.72
21140,กางเกงบุรุษ,2023-01-01,100.25
21150,เสื้อผ้าบุรุษอื่นๆ,2023-01-01,98.47
21160,เครื่องประดับบุรุษ,2023-01-01,100.66
21200,สตรี,2023-01-01,99.86
21220,เครื่องแบบหญิง,2023-01-01,98.08
21230,เสื้อสตรี,2023-01-01,100.1
21240,กางเกงสตรีและกระโปรงสตรี,2023-01-01,100.01
21250,เสื้อผ้าสตรีอื่นๆ,2023-01-01,99.45
21300,เด็ก,2023-01-01,99.31
21310,เครื่องแบบเด็ก,2023-01-01,97.25
21320,เสื้อเด็ก,2023-01-01,100.55
21330,กางเกงเด็ก,2023-01-01,100.28
21340,เสื้อผ้าเด็กอื่นๆ,2023-01-01,99.87
21400,ค่าจ้างตัดเย็บและอุปกรณ์,2023-01-01,99.52
21410,ค่าจ้าง,2023-01-01,99.52
22000,ผลิตภัณฑ์รองเท้า,2023-01-01,99.8
22100,รองเท้าบุรุษ,2023-01-01,99.85
22110,รองเท้าหุ้มส้นบุรุษ,2023-01-01,99.66
22120,รองเท้ากีฬาและผ้าใบบุรุษ,2023-01-01,99.92
22130,รองเท้าแตะบุรุษ,2023-01-01,99.8
22200,รองเท้าสตรี,2023-01-01,99.89
22210,รองเท้าหุ้มส้นสตรี,2023-01-01,99.83
22220,รองเท้ากีฬาและผ้าใบสตรี,2023-01-01,99.96
22230,รองเท้าแตะสตรี,2023-01-01,99.85
22300,รองเท้าเด็ก,2023-01-01,99.47
22310,รองเท้าหุ้มส้นเด็ก,2023-01-01,100.09
22320,รองเท้ากีฬาและผ้าใบเด็ก,2023-01-01,99.05
22330,รองเท้าแตะเด็ก,2023-01-01,99.93
22400,ค่าซ่อมแซมและดูแลรักษา,2023-01-01,98.8
